               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.036349,             0.03498,            0.007067,             0.87314,             0.72669,             0.75356,             0.35012,            0.028596,            0.014336,            0.016125,            0.003268,            0.003268,            0.003268
                  70,            0.036358,            0.034919,           0.0069126,             0.85266,             0.70624,              0.7432,               0.365,            0.028161,            0.014142,            0.016615,            0.003169,            0.003169,            0.003169
                  71,            0.036145,            0.034581,           0.0074031,             0.89668,             0.73049,             0.75604,             0.36932,            0.027504,            0.014255,              0.0142,             0.00307,             0.00307,             0.00307
                  72,            0.034971,            0.034075,           0.0065237,             0.87027,             0.74604,              0.7655,             0.36608,            0.028506,            0.014016,            0.016006,            0.002971,            0.002971,            0.002971
                  73,            0.035062,            0.034539,           0.0069587,             0.89193,             0.72323,             0.76111,             0.36522,            0.028694,            0.014063,            0.016445,            0.002872,            0.002872,            0.002872
                  74,            0.035364,            0.033198,           0.0063356,             0.87969,             0.72467,             0.76015,             0.37275,            0.028077,            0.013971,            0.015619,            0.002773,            0.002773,            0.002773
                  75,            0.035445,            0.034321,           0.0062598,             0.86705,             0.72357,             0.77307,             0.36301,            0.028495,            0.014176,            0.015959,            0.002674,            0.002674,            0.002674
                  76,            0.034403,            0.033387,           0.0060067,              0.8756,             0.73555,             0.76721,             0.38394,            0.026815,            0.013987,            0.014416,            0.002575,            0.002575,            0.002575
                  77,            0.035649,            0.033616,           0.0063346,             0.84568,             0.72712,             0.76245,             0.34099,            0.027734,            0.014254,            0.016769,            0.002476,            0.002476,            0.002476
                  78,            0.034224,            0.033452,             0.00607,             0.85245,             0.74754,             0.76833,             0.36144,            0.027769,             0.01408,            0.017122,            0.002377,            0.002377,            0.002377
                  79,            0.034493,            0.034258,           0.0059198,             0.87902,             0.75128,             0.77795,             0.38474,            0.027105,            0.013887,            0.017027,            0.002278,            0.002278,            0.002278
                  80,             0.03448,            0.034684,           0.0057973,             0.86792,             0.71237,             0.75794,             0.36192,            0.028381,            0.013954,            0.018108,            0.002179,            0.002179,            0.002179
                  81,            0.034261,            0.034074,           0.0061219,             0.85949,             0.74021,             0.76958,             0.36333,            0.028525,            0.014149,            0.017811,             0.00208,             0.00208,             0.00208
                  82,            0.033995,            0.033161,           0.0057813,              0.8628,             0.73395,             0.77668,             0.36668,            0.027851,            0.013953,            0.018118,            0.001981,            0.001981,            0.001981
                  83,            0.034556,            0.032263,           0.0064873,              0.8834,             0.75034,             0.79159,              0.3738,            0.027945,            0.013899,            0.014101,            0.001882,            0.001882,            0.001882
                  84,            0.033422,            0.033003,           0.0059137,             0.87165,             0.74568,             0.77005,               0.377,            0.027853,            0.013968,            0.017166,            0.001783,            0.001783,            0.001783
                  85,            0.033768,            0.033636,           0.0055055,             0.86857,             0.73307,             0.76994,             0.39251,            0.026716,            0.013671,            0.016857,            0.001684,            0.001684,            0.001684
                  86,            0.033661,            0.034532,            0.006057,             0.85772,             0.74048,             0.77146,             0.38062,            0.027424,            0.013776,            0.015745,            0.001585,            0.001585,            0.001585
                  87,              0.0333,            0.032399,           0.0055796,             0.84694,             0.72373,             0.75025,             0.36942,            0.027827,            0.013962,            0.016006,            0.001486,            0.001486,            0.001486
                  88,            0.033775,            0.033772,           0.0054534,             0.85129,             0.74384,             0.77068,             0.36162,            0.027945,            0.014085,            0.016815,            0.001387,            0.001387,            0.001387
                  89,             0.03246,            0.033838,           0.0051402,             0.84036,              0.7528,             0.76933,             0.35406,            0.027856,            0.014032,            0.018021,            0.001288,            0.001288,            0.001288
                  90,            0.033407,            0.033381,           0.0055497,             0.85283,             0.74493,             0.77064,             0.36979,            0.027058,            0.013796,             0.01659,            0.001189,            0.001189,            0.001189
                  91,              0.0326,            0.032515,           0.0051713,             0.87668,             0.75264,              0.7853,             0.37979,            0.026837,             0.01394,            0.017904,             0.00109,             0.00109,             0.00109
                  92,            0.032649,            0.032816,           0.0060189,             0.87785,             0.74111,             0.78775,             0.38722,              0.0271,            0.013875,            0.017887,            0.000991,            0.000991,            0.000991
                  93,            0.032518,            0.031802,            0.005037,             0.86691,             0.74227,             0.76435,             0.37844,            0.027614,            0.013935,            0.018625,            0.000892,            0.000892,            0.000892
                  94,            0.032155,            0.032215,            0.004719,              0.8374,             0.72638,             0.74228,             0.36379,            0.027611,            0.013913,            0.020834,            0.000793,            0.000793,            0.000793
                  95,            0.032222,            0.033414,           0.0048385,              0.8566,             0.73209,             0.75402,             0.37294,            0.027428,            0.014022,            0.019354,            0.000694,            0.000694,            0.000694
                  96,             0.03162,            0.032292,           0.0048066,             0.87196,             0.74057,             0.77275,              0.3711,            0.027191,            0.013958,            0.019819,            0.000595,            0.000595,            0.000595
                  97,              0.0313,            0.031953,           0.0045028,             0.86744,             0.74664,             0.76959,             0.37819,            0.027026,             0.01393,            0.019503,            0.000496,            0.000496,            0.000496
                  98,            0.032197,            0.031862,           0.0048777,             0.87482,             0.74554,              0.7779,             0.37899,            0.026972,            0.013892,            0.019417,            0.000397,            0.000397,            0.000397
                  99,            0.031247,            0.032522,           0.0046216,             0.88174,             0.75454,             0.78748,               0.389,            0.026888,             0.01378,            0.018593,            0.000298,            0.000298,            0.000298
